Package,Count,Sort,Timestamp,Is_Current
pandas,965,hotness,31:16.4,0
numpy,953,hotness,31:16.4,0
matplotlib,808,hotness,31:16.4,0
sklearn,648,hotness,31:16.4,0
os,546,hotness,31:16.4,0
seaborn,530,hotness,31:16.4,0
warnings,224,hotness,31:16.4,0
xgboost,153,hotness,31:16.4,0
tensorflow,146,hotness,31:16.4,0
plotly,118,hotness,31:16.4,0
tqdm,109,hotness,31:16.4,0
scipy,99,hotness,31:16.4,0
random,94,hotness,31:16.4,0
torch,82,hotness,31:16.4,0
lightgbm,81,hotness,31:16.4,0
IPython,77,hotness,31:16.4,0
PIL,72,hotness,31:16.4,0
mpl_toolkits,64,hotness,31:16.4,0
collections,63,hotness,31:16.4,0
datetime,63,hotness,31:16.4,0
cv2,62,hotness,31:16.4,0
time,60,hotness,31:16.4,0
catboost,57,hotness,31:16.4,0
pathlib,57,hotness,31:16.4,0
math,55,hotness,31:16.4,0
re,53,hotness,31:16.4,0
keras,52,hotness,31:16.4,0
json,51,hotness,31:16.4,0
gc,48,hotness,31:16.4,0
imblearn,48,hotness,31:16.4,0
statsmodels,43,hotness,31:16.4,0
glob,42,hotness,31:16.4,0
itertools,42,hotness,31:16.4,0
sys,40,hotness,31:16.4,0
optuna,39,hotness,31:16.4,0
pickle,30,hotness,31:16.4,0
torchvision,28,hotness,31:16.4,0
nltk,28,hotness,31:16.4,0
urllib,27,hotness,31:16.4,0
category_encoders,22,hotness,31:16.4,0
pandas_profiling,22,hotness,31:16.4,0
transformers,21,hotness,31:16.4,0
typing,21,hotness,31:16.4,0
shutil,20,hotness,31:16.4,0
functools,19,hotness,31:16.4,0
string,17,hotness,31:16.4,0
copy,16,hotness,31:16.4,0
fastai,16,hotness,31:16.4,0
wordcloud,15,hotness,31:16.4,0
requests,14,hotness,31:16.4,0
missingno,13,hotness,31:16.4,0
librosa,13,hotness,31:16.4,0
skimage,12,hotness,31:16.4,0
colorama,10,hotness,31:16.4,0
lifetimes,10,hotness,31:16.4,0
pycaret,10,hotness,31:16.4,0
io,9,hotness,31:16.4,0
zipfile,8,hotness,31:16.4,0
polars,8,hotness,31:16.4,0
importlib,8,hotness,31:16.4,0
folium,8,hotness,31:16.4,0
bs4,8,hotness,31:16.4,0
albumentations,8,hotness,31:16.4,0
sentence_transformers,8,hotness,31:16.4,0
umap,7,hotness,31:16.4,0
datasets,7,hotness,31:16.4,0
mlxtend,7,hotness,31:16.4,0
amp_pd_peptide,6,hotness,31:16.4,0
autoviz,6,hotness,31:16.4,0
contextlib,6,hotness,31:16.4,0
lazypredict,6,hotness,31:16.4,0
geopandas,6,hotness,31:16.4,0
csv,6,hotness,31:16.4,0
networkx,6,hotness,31:16.4,0
pytorch_lightning,6,hotness,31:16.4,0
tensorflow_datasets,5,hotness,31:16.4,0
joblib,5,hotness,31:16.4,0
kaggle_secrets,5,hotness,31:16.4,0
yellowbrick,5,hotness,31:16.4,0
shap,5,hotness,31:16.4,0
argparse,5,hotness,31:16.4,0
inspect,5,hotness,31:16.4,0
multiprocessing,5,hotness,31:16.4,0
statistics,5,hotness,31:16.4,0
flaml,5,hotness,31:16.4,0
pprint,5,hotness,31:16.4,0
tflite_runtime,5,hotness,31:16.4,0
google,4,hotness,31:16.4,0
splitfolders,4,hotness,31:16.4,0
fasteda,4,hotness,31:16.4,0
gensim,4,hotness,31:16.4,0
eli5,4,hotness,31:16.4,0
tensorflow_hub,4,hotness,31:16.4,0
torch_geometric,4,hotness,31:16.4,0
abc,4,hotness,31:16.4,0
sweetviz,4,hotness,31:16.4,0
gym,4,hotness,31:16.4,0
torchinfo,4,hotness,31:16.4,0
ast,4,hotness,31:16.4,0
tensorflow_addons,4,hotness,31:16.4,0
subprocess,3,hotness,31:16.4,0
onnx,3,hotness,31:16.4,0
timm,3,hotness,31:16.4,0
textwrap,3,hotness,31:16.4,0
logging,3,hotness,31:16.4,0
xml,3,hotness,31:16.4,0
lofo,3,hotness,31:16.4,0
onnx_tf,3,hotness,31:16.4,0
pmdarima,3,hotness,31:16.4,0
pyspark,3,hotness,31:16.4,0
squarify,3,hotness,31:16.4,0
factor_analyzer,3,hotness,31:16.4,0
learntools,3,hotness,31:16.4,0
operator,3,hotness,31:16.4,0
surprise,3,hotness,31:16.4,0
graphviz,3,hotness,31:16.4,0
gzip,3,hotness,31:16.4,0
helper_functions,3,hotness,31:16.4,0
tensorflow_io,3,hotness,31:16.4,0
decimal,3,hotness,31:16.4,0
deepchecks,3,hotness,31:16.4,0
open_clip,2,hotness,31:16.4,0
hdbscan,2,hotness,31:16.4,0
onnxsim,2,hotness,31:16.4,0
clip_interrogator,2,hotness,31:16.4,0
regex,2,hotness,31:16.4,0
libpysal,2,hotness,31:16.4,0
pickletools,2,hotness,31:16.4,0
torchaudio,2,hotness,31:16.4,0
chinese_calendar,2,hotness,31:16.4,0
blip,2,hotness,31:16.4,0
pydicom,2,hotness,31:16.4,0
einops,2,hotness,31:16.4,0
esda,2,hotness,31:16.4,0
celluloid,2,hotness,31:16.4,0
kneed,2,hotness,31:16.4,0
spacy,2,hotness,31:16.4,0
opendatasets,2,hotness,31:16.4,0
holidays,2,hotness,31:16.4,0
emoji,2,hotness,31:16.4,0
pyarrow,2,hotness,31:16.4,0
gp_bo,2,hotness,31:16.4,0
tabulate,2,hotness,31:16.4,0
featurewiz,2,hotness,31:16.4,0
soundfile,2,hotness,31:16.4,0
imutils,2,hotness,31:16.4,0
kaggle_datasets,2,hotness,31:16.4,0
luxai_s2,2,hotness,31:16.4,0
textblob,2,hotness,31:16.4,0
rapidfuzz,2,hotness,31:16.4,0
plotnine,2,hotness,31:16.4,0
tsflex,2,hotness,31:16.4,0
seglearn,2,hotness,31:16.4,0
ignite,2,hotness,31:16.4,0
keras_tuner,2,hotness,31:16.4,0
torchmetrics,2,hotness,31:16.4,0
segmentation_models_pytorch,2,hotness,31:16.4,0
timeit,2,hotness,31:16.4,0
hyperopt,2,hotness,31:16.4,0
prophet,2,hotness,31:16.4,0
ipywidgets,2,hotness,31:16.4,0
pylab,2,hotness,31:16.4,0
struct,2,hotness,31:16.4,0
lobe,2,hotness,31:16.4,0
fastbook,2,hotness,31:16.4,0
torchsummary,2,hotness,31:16.4,0
evaluate,2,hotness,31:16.4,0
fastkaggle,2,hotness,31:16.4,0
dataprep,2,hotness,31:16.4,0
lets_plot,2,hotness,31:16.4,0
wandb,2,hotness,31:16.4,0
lovely_numpy,1,hotness,31:16.4,0
cairosvg,1,hotness,31:16.4,0
torchviz,1,hotness,31:16.4,0
polyleven,1,hotness,31:16.4,0
monai,1,hotness,31:16.4,0
neuralprophet,1,hotness,31:16.4,0
openai,1,hotness,31:16.4,0
phik,1,hotness,31:16.4,0
pyvis,1,hotness,31:16.4,0
efficientnet_pytorch_3d,1,hotness,31:16.4,0
